sub_num,block,true_planet,planet,galaxy,stay_num,reward,planet_in_block
0,1,0,0,0,0,105.0,0
0,1,0,0,0,1,24.0,0
0,1,0,0,0,2,6.0,0
0,1,1,1,0,0,90.0,1
0,1,1,1,0,1,17.0,1
0,1,1,1,0,2,4.0,1
0,1,2,2,1,0,97.0,2
0,1,2,2,1,1,44.0,2
0,1,2,2,1,2,23.0,2
0,1,2,2,1,3,12.0,2
0,1,3,3,1,0,104.0,3
0,1,3,3,1,1,61.0,3
0,1,3,3,1,2,33.0,3
0,1,3,3,1,3,17.0,3
0,1,3,3,1,4,8.0,3
0,1,4,4,1,0,102.0,4
0,1,4,4,1,1,57.0,4
0,1,4,4,1,2,30.0,4
0,1,4,4,1,3,16.0,4
0,1,4,4,1,4,8.0,4
0,1,5,5,2,0,101.0,5
0,1,5,5,2,1,76.0,5
0,1,5,5,2,2,56.0,5
0,1,5,5,2,3,45.0,5
0,1,5,5,2,4,31.0,5
0,1,5,5,2,5,27.0,5
0,1,5,5,2,6,19.0,5
0,1,5,5,2,7,16.0,5
0,1,5,5,2,8,14.0,5
0,1,5,5,2,9,12.0,5
0,1,5,5,2,10,10.0,5
0,1,6,6,2,0,100.0,6
0,1,6,6,2,1,82.0,6
0,1,6,6,2,2,62.0,6
0,1,6,6,2,3,47.0,6
0,1,6,6,2,4,38.0,6
0,1,6,6,2,5,33.0,6
0,1,6,6,2,6,28.0,6
0,1,6,6,2,7,22.0,6
0,1,6,6,2,8,17.0,6
0,1,6,6,2,9,14.0,6
0,1,6,6,2,10,11.0,6
0,1,6,6,2,11,9.0,6
0,1,7,7,2,0,94.0,7
0,1,7,7,2,1,79.0,7
0,1,7,7,2,2,50.0,7
0,1,7,7,2,3,40.0,7
0,1,7,7,2,4,35.0,7
0,1,7,7,2,5,29.0,7
0,1,7,7,2,6,24.0,7
0,1,7,7,2,7,16.0,7
0,1,7,7,2,8,12.0,7
0,1,7,7,2,9,10.0,7
0,1,8,8,0,0,111.0,8
0,1,8,8,0,1,28.0,8
0,1,8,8,0,2,10.0,8
0,1,9,9,0,0,105.0,9
0,1,9,9,0,1,21.0,9
0,1,9,9,0,2,3.0,9
0,1,10,10,0,0,109.0,10
0,2,20,11,0,0,95.0,0
0,2,20,11,0,1,25.0,0
0,2,20,11,0,2,6.0,0
0,2,21,12,0,0,93.0,1
0,2,21,12,0,1,15.0,1
0,2,21,12,0,2,4.0,1
0,2,22,13,0,0,90.0,2
0,2,22,13,0,1,19.0,2
0,2,22,13,0,2,4.0,2
0,2,23,14,2,0,102.0,3
0,2,23,14,2,1,86.0,3
0,2,23,14,2,2,60.0,3
0,2,23,14,2,3,47.0,3
0,2,23,14,2,4,38.0,3
0,2,23,14,2,5,31.0,3
0,2,23,14,2,6,25.0,3
0,2,23,14,2,7,20.0,3
0,2,23,14,2,8,17.0,3
0,2,24,15,2,0,93.0,4
0,2,24,15,2,1,82.0,4
0,2,24,15,2,2,64.0,4
0,2,24,15,2,3,53.0,4
0,2,24,15,2,4,43.0,4
0,2,24,15,2,5,35.0,4
0,2,24,15,2,6,31.0,4
0,2,24,15,2,7,27.0,4
0,2,24,15,2,8,22.0,4
0,2,24,15,2,9,19.0,4
0,2,24,15,2,10,17.0,4
0,2,24,15,2,11,14.0,4
0,2,24,15,2,12,11.0,4
0,2,25,16,2,0,101.0,5
0,2,25,16,2,1,84.0,5
0,2,25,16,2,2,73.0,5
0,2,25,16,2,3,61.0,5
0,2,25,16,2,4,50.0,5
