,sub_num,block,galaxy,prt_rel_om
0,0,1,0,1.6
1,0,1,1,1.6666666666666667
2,0,1,2,4.666666666666667
3,0,2,0,2.0
4,0,2,1,1.0
5,0,2,2,3.4
6,0,3,1,1.4285714285714286
7,0,3,2,1.0
8,0,4,0,1.6666666666666667
9,0,4,2,2.6666666666666665
10,0,5,1,1.2857142857142858
11,1,1,0,1.1666666666666667
12,1,1,1,1.3333333333333333
13,1,1,2,1.3333333333333333
14,1,2,0,1.0
15,1,2,1,1.0
16,1,2,2,2.0
17,1,3,1,1.5714285714285714
18,1,3,2,-0.5
19,1,4,0,1.0
20,1,4,2,1.3333333333333333
21,1,5,1,1.2307692307692308
22,2,1,0,2.0
23,2,1,1,1.3333333333333333
24,2,1,2,2.0
25,2,2,0,1.3333333333333333
26,2,2,1,2.0
27,2,2,2,0.42857142857142855
28,2,3,1,1.2857142857142858
29,2,3,2,-0.2
30,2,4,0,1.6
31,2,4,2,1.5
32,2,5,1,1.5833333333333333
33,3,1,0,1.1428571428571428
34,3,1,1,1.0
35,3,1,2,0.6666666666666666
36,3,2,0,1.0
37,3,2,1,3.0
38,3,2,2,1.6666666666666667
39,3,3,1,2.142857142857143
40,3,3,2,0.75
41,3,4,0,1.0
42,3,4,2,2.3333333333333335
43,3,5,1,1.9166666666666667
44,4,1,0,0.8571428571428571
45,4,1,1,1.3333333333333333
46,4,1,2,2.6666666666666665
47,4,2,0,1.3333333333333333
48,4,2,1,1.0
49,4,2,2,0.42857142857142855
50,4,3,1,1.0
51,4,3,2,-0.2
52,4,4,0,1.0
53,4,4,2,-0.14285714285714285
54,4,5,1,0.7333333333333333
55,5,1,0,1.2857142857142858
56,5,1,1,1.3333333333333333
57,5,1,2,0.0
58,5,2,0,0.75
59,5,2,1,1.0
60,5,2,2,-0.14285714285714285
61,5,3,1,1.0
62,5,3,2,-1.5
63,5,4,0,1.0
64,5,4,2,-1.25
65,5,5,1,0.4666666666666667
66,6,1,0,0.8571428571428571
67,6,1,1,-0.3333333333333333
68,6,1,2,-3.2
69,6,2,0,1.0
70,6,2,1,0.0
71,6,2,2,-3.2857142857142856
72,6,3,1,-0.2857142857142857
73,6,3,2,-3.4285714285714284
74,6,4,0,1.0
75,6,4,2,-2.7777777777777777
76,6,5,1,-0.4
77,6,5,2,-6.0
78,7,1,0,1.1428571428571428
79,7,1,1,-1.25
80,7,1,2,-3.6
81,7,2,0,0.8571428571428571
82,7,2,1,0.0
83,7,2,2,-4.125
84,7,3,1,0.2857142857142857
85,7,3,2,-3.5714285714285716
86,7,4,0,1.0
87,7,4,2,-2.0
88,7,5,1,0.9285714285714286
89,8,1,0,1.2857142857142858
90,8,1,1,0.3333333333333333
91,8,1,2,-1.75
92,8,2,0,0.75
93,8,2,1,1.0
94,8,2,2,-0.5714285714285714
95,8,3,1,1.0
96,8,3,2,-1.2
97,8,4,0,2.2
98,8,4,2,-1.8571428571428572
99,8,5,1,0.9285714285714286
100,9,1,0,1.8
101,9,1,1,3.0
102,9,1,2,1.6666666666666667
103,9,2,0,1.3333333333333333
104,9,2,1,0.0
105,9,2,2,-0.2857142857142857
106,9,3,1,1.0
107,9,3,2,-0.2
108,9,4,0,1.0
109,9,4,2,0.14285714285714285
110,9,5,1,1.0714285714285714
111,10,1,0,1.1666666666666667
112,10,1,1,0.3333333333333333
113,10,1,2,3.3333333333333335
114,10,2,0,1.3333333333333333
115,10,2,1,1.0
116,10,2,2,-0.14285714285714285
117,10,3,1,1.1428571428571428
118,10,3,2,-0.6
119,10,4,0,1.2
120,10,4,2,1.5
121,10,5,1,1.1538461538461537
122,11,1,0,1.1428571428571428
123,11,1,1,0.3333333333333333
124,11,1,2,-0.75
125,11,2,0,0.6666666666666666
126,11,2,1,1.0
127,11,2,2,0.2857142857142857
128,11,3,1,0.5714285714285714
129,11,3,2,-0.3333333333333333
130,11,4,0,1.0
131,11,4,2,0.14285714285714285
132,11,5,1,0.3333333333333333
133,11,5,2,-5.0
134,12,1,0,1.0
135,12,1,1,0.6666666666666666
136,12,1,2,2.0
137,12,2,0,1.3333333333333333
138,12,2,1,2.0
139,12,2,2,-0.14285714285714285
140,12,3,1,1.0
141,12,3,2,0.0
142,12,4,0,1.0
143,12,4,2,-0.2857142857142857
144,12,5,1,0.8
145,13,1,0,1.0
146,13,1,1,1.3333333333333333
147,13,1,2,1.3333333333333333
148,13,2,0,1.3333333333333333
149,13,2,1,1.0
150,13,2,2,0.0
151,13,3,1,1.0
152,13,3,2,-0.4
153,13,4,0,1.0
154,13,4,2,0.2857142857142857
155,13,5,1,0.7857142857142857
156,14,1,0,1.2857142857142858
157,14,1,1,1.0
158,14,1,2,0.6666666666666666
159,14,2,0,1.25
160,14,2,1,1.0
161,14,2,2,-0.5714285714285714
162,14,3,1,1.2857142857142858
163,14,3,2,-1.8333333333333333
164,14,4,0,1.2
165,14,4,2,-2.2222222222222223
166,14,5,1,0.9285714285714286
167,15,1,0,1.8571428571428572
168,15,1,1,0.0
169,15,1,2,0.0
170,15,2,0,1.0
171,15,2,1,1.0
172,15,2,2,0.0
173,15,3,1,0.8571428571428571
174,15,3,2,1.5
175,15,4,0,1.0
176,15,4,2,1.5
177,15,5,1,1.0
