sub_num,galaxy,diff_mean
0.0,0,-0.7368421052631579
0.0,1,-1.9666666666666666
0.0,2,-6.934782608695652
1.0,0,1.0
1.0,1,0.72
1.0,2,-1.0416666666666667
2.0,0,0.9411764705882353
2.0,1,0.64
2.0,2,-1.0416666666666667
3.0,0,1.0
3.0,1,0.72
3.0,2,-0.9583333333333334
4.0,0,0.9375
4.0,1,0.72
4.0,2,-1.0
5.0,0,1.0588235294117647
5.0,1,0.68
5.0,2,-0.9130434782608695
6.0,0,1.0588235294117647
6.0,1,0.64
6.0,2,-1.0
7.0,0,-0.7894736842105263
7.0,1,-2.0
7.0,2,-7.065217391304348
8.0,0,0.9411764705882353
8.0,1,0.76
8.0,2,-1.0833333333333333
9.0,0,1.0
9.0,1,0.68
9.0,2,-1.0
10.0,0,1.0
10.0,1,0.72
10.0,2,-0.875
11.0,0,1.0
11.0,1,0.68
11.0,2,-1.0833333333333333
12.0,0,1.0588235294117647
12.0,1,0.68
12.0,2,-0.782608695652174
13.0,0,1.0588235294117647
13.0,1,0.68
13.0,2,-0.9130434782608695
14.0,0,-0.631578947368421
14.0,1,-2.0
14.0,2,-7.260869565217392
15.0,0,0.9375
15.0,1,0.6
15.0,2,-0.7916666666666666
16.0,0,0.8823529411764706
16.0,1,0.72
16.0,2,-1.0833333333333333
17.0,0,0.9411764705882353
17.0,1,0.64
17.0,2,-0.9583333333333334
18.0,0,0.8823529411764706
18.0,1,0.72
18.0,2,-1.0
19.0,0,-0.21052631578947367
19.0,1,-1.8666666666666667
19.0,2,-6.568181818181818
20.0,0,1.0588235294117647
20.0,1,0.68
20.0,2,-1.1666666666666667
21.0,0,-0.6842105263157895
21.0,1,-1.9666666666666666
21.0,2,-6.804347826086956
22.0,0,-0.631578947368421
22.0,1,-1.9
22.0,2,-6.913043478260869
23.0,0,-0.5789473684210527
23.0,1,-1.9333333333333333
23.0,2,-6.869565217391305
24.0,0,-0.5789473684210527
24.0,1,-1.9666666666666666
24.0,2,-6.888888888888889
25.0,0,-0.5789473684210527
25.0,1,-1.9333333333333333
25.0,2,-6.826086956521739
26.0,0,-0.5789473684210527
26.0,1,-1.9666666666666666
26.0,2,-6.822222222222222
27.0,0,-0.5789473684210527
27.0,1,-1.9666666666666666
27.0,2,-6.933333333333334
28.0,0,-0.7368421052631579
28.0,1,-1.9666666666666666
28.0,2,-6.8478260869565215
29.0,0,-0.6842105263157895
29.0,1,-1.9666666666666666
29.0,2,-7.086956521739131
30.0,0,-0.5789473684210527
30.0,1,-1.9666666666666666
30.0,2,-6.826086956521739
31.0,0,-0.631578947368421
31.0,1,-1.9666666666666666
31.0,2,-6.891304347826087
32.0,0,-0.5789473684210527
32.0,1,-1.9333333333333333
32.0,2,-6.956521739130435
33.0,0,-0.5789473684210527
33.0,1,-2.0
33.0,2,-6.978260869565218
34.0,0,-0.5789473684210527
34.0,1,-1.9666666666666666
34.0,2,-6.826086956521739
35.0,0,-0.6842105263157895
35.0,1,-1.9333333333333333
35.0,2,-6.956521739130435
36.0,0,-0.5263157894736842
36.0,1,-1.8666666666666667
36.0,2,-6.804347826086956
37.0,0,-0.5263157894736842
37.0,1,-2.0
37.0,2,-6.869565217391305
38.0,0,-0.631578947368421
38.0,1,-2.0
38.0,2,-7.108695652173913
39.0,0,-0.47368421052631576
39.0,1,-1.9
39.0,2,-6.888888888888889
40.0,0,-0.5789473684210527
40.0,1,-1.9666666666666666
40.0,2,-6.978260869565218
41.0,0,-0.5263157894736842
41.0,1,-2.0
41.0,2,-7.065217391304348
42.0,0,-0.6842105263157895
42.0,1,-2.0
42.0,2,-7.0
43.0,0,-0.5789473684210527
43.0,1,-1.9333333333333333
43.0,2,-6.956521739130435
44.0,0,-0.5789473684210527
44.0,1,-2.0
44.0,2,-6.8478260869565215
45.0,0,-0.631578947368421
45.0,1,-2.0
45.0,2,-6.934782608695652
46.0,0,-0.631578947368421
46.0,1,-1.9
46.0,2,-6.933333333333334
47.0,0,-0.5263157894736842
47.0,1,-2.0
47.0,2,-7.065217391304348
48.0,0,-0.631578947368421
48.0,1,-2.0
48.0,2,-6.956521739130435
49.0,0,-0.7368421052631579
49.0,1,-1.9666666666666666
49.0,2,-7.043478260869565
50.0,0,-0.5789473684210527
50.0,1,-2.0
50.0,2,-7.0
51.0,0,-0.631578947368421
51.0,1,-1.9666666666666666
51.0,2,-7.0
52.0,0,-0.5789473684210527
52.0,1,-2.0
52.0,2,-7.130434782608695
53.0,0,-0.631578947368421
53.0,1,-1.9
53.0,2,-6.8
54.0,0,-0.5263157894736842
54.0,1,-1.9666666666666666
54.0,2,-7.021739130434782
55.0,0,-0.631578947368421
55.0,1,-2.0
55.0,2,-7.195652173913044
56.0,0,-0.7894736842105263
56.0,1,-1.9333333333333333
56.0,2,-6.891304347826087
57.0,0,-0.6842105263157895
57.0,1,-1.9333333333333333
57.0,2,-6.782608695652174
58.0,0,-0.631578947368421
58.0,1,-1.9666666666666666
58.0,2,-7.021739130434782
59.0,0,-0.6842105263157895
59.0,1,-1.9666666666666666
59.0,2,-7.108695652173913
60.0,0,-0.5789473684210527
60.0,1,-1.8333333333333333
60.0,2,-7.022222222222222
61.0,0,-0.5789473684210527
61.0,1,-2.0
61.0,2,-6.934782608695652
62.0,0,-0.6842105263157895
62.0,1,-2.0
62.0,2,-6.913043478260869
63.0,0,-0.7368421052631579
63.0,1,-2.0
63.0,2,-6.978260869565218
64.0,0,-0.631578947368421
64.0,1,-1.9666666666666666
64.0,2,-6.913043478260869
65.0,0,-0.5789473684210527
65.0,1,-1.9666666666666666
65.0,2,-6.934782608695652
66.0,0,-0.5789473684210527
66.0,1,-2.0
66.0,2,-6.782608695652174
67.0,0,-0.5263157894736842
67.0,1,-1.9
67.0,2,-6.822222222222222
68.0,0,-0.5789473684210527
68.0,1,-1.9666666666666666
68.0,2,-6.956521739130435
69.0,0,-0.631578947368421
69.0,1,-2.0
69.0,2,-7.1521739130434785
70.0,0,-0.7894736842105263
70.0,1,-1.9666666666666666
70.0,2,-7.043478260869565
71.0,0,-0.631578947368421
71.0,1,-1.9666666666666666
71.0,2,-6.913043478260869
72.0,0,-0.631578947368421
72.0,1,-1.9666666666666666
72.0,2,-6.891304347826087
73.0,0,-0.631578947368421
73.0,1,-2.0
73.0,2,-7.065217391304348
