sub_num,block,galaxy,diff_mean
0.0,1.0,0,1.0625
0.0,1.0,1,0.68
0.0,1.0,2,-1.0416666666666667
1.0,1.0,0,1.0625
1.0,1.0,1,0.72
1.0,1.0,2,-0.9565217391304348
2.0,1.0,0,1.0
2.0,1.0,1,0.52
2.0,1.0,2,-0.9166666666666666
3.0,1.0,0,0.8823529411764706
3.0,1.0,1,0.52
3.0,1.0,2,-1.56
4.0,1.0,0,1.0625
4.0,1.0,1,0.68
4.0,1.0,2,-0.8695652173913043
5.0,1.0,0,1.0625
5.0,1.0,1,0.68
5.0,1.0,2,-0.9583333333333334
6.0,1.0,0,0.35294117647058826
6.0,1.0,1,0.19230769230769232
6.0,1.0,2,-2.7857142857142856
7.0,1.0,0,1.0
7.0,1.0,1,0.6
7.0,1.0,2,-1.4
8.0,1.0,0,0.8823529411764706
8.0,1.0,1,0.72
8.0,1.0,2,-1.2
9.0,1.0,0,1.0625
9.0,1.0,1,0.56
9.0,1.0,2,-0.782608695652174
10.0,1.0,0,1.0
10.0,1.0,1,0.52
10.0,1.0,2,-0.782608695652174
11.0,1.0,0,1.0625
11.0,1.0,1,0.56
11.0,1.0,2,-1.16
12.0,1.0,0,-0.10526315789473684
12.0,1.0,1,-0.37037037037037035
12.0,1.0,2,-4.71875
13.0,1.0,0,1.0
13.0,1.0,1,0.68
13.0,1.0,2,-0.9166666666666666
14.0,1.0,0,1.0625
14.0,1.0,1,0.68
14.0,1.0,2,-1.12
15.0,1.0,0,1.0
15.0,1.0,1,0.56
15.0,1.0,2,-0.8260869565217391
16.0,1.0,0,1.0588235294117647
16.0,1.0,1,0.64
16.0,1.0,2,-1.0416666666666667
17.0,1.0,0,0.3125
17.0,1.0,1,0.2692307692307692
17.0,1.0,2,-2.4285714285714284
18.0,1.0,0,1.125
18.0,1.0,1,0.72
18.0,1.0,2,-0.782608695652174
19.0,1.0,0,0.25
19.0,1.0,1,0.2222222222222222
19.0,1.0,2,-2.4074074074074074
20.0,1.0,0,1.0
20.0,1.0,1,0.68
20.0,1.0,2,-1.1666666666666667
22.0,1.0,0,1.0
22.0,1.0,1,0.6
22.0,1.0,2,-1.1666666666666667
23.0,1.0,0,1.0625
23.0,1.0,1,0.72
23.0,1.0,2,-1.0416666666666667
25.0,1.0,0,1.0
25.0,1.0,1,0.34615384615384615
25.0,1.0,2,-1.28
26.0,1.0,0,1.0625
26.0,1.0,1,0.4230769230769231
26.0,1.0,2,-0.782608695652174
27.0,1.0,0,1.0588235294117647
27.0,1.0,1,0.52
27.0,1.0,2,-1.2
28.0,1.0,0,1.0588235294117647
28.0,1.0,1,0.64
28.0,1.0,2,-1.0434782608695652
29.0,1.0,0,1.0
29.0,1.0,1,0.64
29.0,1.0,2,-1.2083333333333333
30.0,1.0,0,1.0625
30.0,1.0,1,0.68
30.0,1.0,2,-0.9583333333333334
31.0,1.0,0,1.0
31.0,1.0,1,0.6
31.0,1.0,2,-0.8695652173913043
32.0,1.0,0,0.9411764705882353
32.0,1.0,1,0.8
32.0,1.0,2,-0.96
33.0,1.0,0,0.17647058823529413
33.0,1.0,1,0.0
33.0,1.0,2,-2.896551724137931
34.0,1.0,0,1.0625
34.0,1.0,1,0.64
34.0,1.0,2,-1.0833333333333333
35.0,1.0,0,1.0
35.0,1.0,1,0.68
35.0,1.0,2,-0.96
36.0,1.0,0,1.0588235294117647
36.0,1.0,1,0.56
36.0,1.0,2,-1.2
37.0,1.0,0,1.0625
37.0,1.0,1,0.72
37.0,1.0,2,-0.6521739130434783
38.0,1.0,0,0.9375
38.0,1.0,1,0.52
38.0,1.0,2,-1.0
0.0,2.0,0,1.0
0.0,2.0,1,0.68
0.0,2.0,2,-0.8695652173913043
1.0,2.0,0,1.0625
1.0,2.0,1,0.72
1.0,2.0,2,-1.1304347826086956
2.0,2.0,0,1.0
2.0,2.0,1,0.52
2.0,2.0,2,-0.6666666666666666
3.0,2.0,0,1.0
3.0,2.0,1,0.6
3.0,2.0,2,-0.782608695652174
4.0,2.0,0,1.0625
4.0,2.0,1,0.68
4.0,2.0,2,-0.9130434782608695
5.0,2.0,0,1.0625
5.0,2.0,1,0.68
5.0,2.0,2,-0.9583333333333334
6.0,2.0,0,1.0
6.0,2.0,1,0.6
6.0,2.0,2,-0.9583333333333334
7.0,2.0,0,1.0625
7.0,2.0,1,0.56
7.0,2.0,2,-1.36
8.0,2.0,0,-0.8421052631578947
8.0,2.0,1,-1.9666666666666666
8.0,2.0,2,-7.043478260869565
9.0,2.0,0,1.0625
9.0,2.0,1,0.56
9.0,2.0,2,-0.7391304347826086
10.0,2.0,0,1.0
10.0,2.0,1,0.52
10.0,2.0,2,-1.0
11.0,2.0,0,1.0625
11.0,2.0,1,0.6
11.0,2.0,2,-1.0
12.0,2.0,0,-0.5263157894736842
12.0,2.0,1,-2.0
12.0,2.0,2,-6.955555555555556
13.0,2.0,0,0.9375
13.0,2.0,1,0.72
13.0,2.0,2,-0.75
14.0,2.0,0,-0.21052631578947367
14.0,2.0,1,-0.2692307692307692
14.0,2.0,2,-4.78125
15.0,2.0,0,0.9375
15.0,2.0,1,0.64
15.0,2.0,2,-0.8260869565217391
16.0,2.0,0,1.0588235294117647
16.0,2.0,1,0.6
16.0,2.0,2,-1.0
17.0,2.0,0,1.0
17.0,2.0,1,0.68
17.0,2.0,2,-1.08
18.0,2.0,0,1.125
18.0,2.0,1,0.72
18.0,2.0,2,-0.5652173913043478
19.0,2.0,0,1.0
