cluster_assign,cluster_mean,cluster_var,long_alpha,long_beta,short_alpha,short_beta,true_decay,true_galaxy
1,0.25806451612903225,0.125,117.0,14.0,122.0,23.5,0.25806451612903225,0
2,0.328125,0.154541015625,228.0,36.5,122.0,23.5,0.20715725806451613,0
1,0.2655558191018343,0.06891136235866768,369.0,59.0,374.0,68.5,0.38235294117647056,1
2,0.4473923590054578,0.08566589658751474,510.0,81.5,233.0,46.0,0.41798059429957546,1
3,0.5064580443828017,0.08402026963933844,696.0,107.5,146.0,23.5,0.4654483415325894,1
2,0.6658677795485888,0.04967553568790468,1004.0,140.5,233.0,46.0,0.8051529462958824,2
3,0.7692646229917978,0.029592874533444776,1392.0,180.5,5.0,1.0,0.8032808732437096,2
2,0.7682156489113545,0.024291802490582125,1821.0,224.0,233.0,46.0,0.7949154403911407,2
1,0.1919768925817313,0.06414143970611001,1936.0,246.5,1457.0,166.0,0.1919768925817313,0
1,0.19300227727943572,0.051315675157955896,2058.0,269.0,1457.0,166.0,0.19300227727943572,0
1,0.20146064535296032,0.04300154259985398,2184.0,291.5,1457.0,166.0,0.20146064535296032,0
2,0.3661037383847344,0.05199772866343923,2308.0,314.0,470.0,91.0,0.19367752156413717,0
1,0.19686802934128694,0.03253176229391031,2427.0,336.5,1457.0,166.0,0.19686802934128694,0
2,0.7917754292202311,0.02298521534520632,2678.0,362.5,839.0,158.5,0.8020248435233218,2
2,0.33112811532061204,0.050085365863222715,2789.0,385.0,1073.0,110.5,0.19179077567362607,0
2,0.3096744389822933,0.0466682062777571,2913.0,407.5,1073.0,110.5,0.19058650959348772,0
1,0.18819452530080563,0.023847005100590266,3025.0,430.0,1708.0,192.0,0.18819452530080563,0
2,0.8080520306022235,0.017489522722929775,3483.0,477.0,1186.0,226.0,0.8080305363494389,2
3,0.8045191952698081,0.016795891332262815,3909.0,520.5,825.0,158.5,0.8066587875093476,2
3,0.7977644185697191,0.01509285909452529,4289.0,564.0,825.0,158.5,0.8036574808537817,2
2,0.8044597459131935,0.011975257871284752,4753.0,611.0,1186.0,226.0,0.8051073872882701,2
2,0.7983730836561084,0.01101575938257795,5178.0,654.5,1186.0,226.0,0.8030700049623223,2
3,0.5075757575757576,0.12505739210284664,5328.0,677.0,3861.0,416.5,0.47538897625637455,1
2,0.7919297241384972,0.010952249427202672,5803.0,724.0,1186.0,226.0,0.8047939994652137,2
1,0.21190225862225373,0.027011940351915995,5945.0,746.5,4336.0,463.5,0.4709874121864346,1
2,0.7986879894168785,0.010194509386201896,6401.0,793.5,1328.0,248.5,0.8054296610417507,2
1,0.23190399348065568,0.02899634189789531,6552.0,816.0,4792.0,510.5,0.46826393572024066,1
1,0.24776485845100815,0.029728350181389196,6703.0,838.5,4792.0,510.5,0.46449284851711536,1
1,0.26615759412556017,0.03185107857316972,6846.0,861.0,4792.0,510.5,0.4690228828924066,1
1,0.2817470878505228,0.03305018529148014,7002.0,883.5,4792.0,510.5,0.47212059460316597,1
2,0.8067253997287189,0.008638127381493381,7460.0,927.0,1929.0,338.5,0.8053936000429481,2
2,0.8078822476528682,0.008083659979523556,7854.0,970.5,1786.0,316.0,0.8057979401840143,2
1,0.28103778771847227,0.032759526107874214,7993.0,993.0,5644.0,597.5,0.4741663274496034,1
1,0.2957097680913309,0.03387155880357407,8137.0,1015.5,5644.0,597.5,0.47763492296915405,1
2,0.811448955938241,0.00759011881320152,8604.0,1062.5,2069.0,361.0,0.806885976977629,2
2,0.8120555485382367,0.007356099425810067,8931.0,1095.5,2069.0,361.0,0.8072022051454083,2
1,0.2927080670897132,0.0321259598045781,9048.0,1118.0,6438.0,677.5,0.19332964582471693,0
1,0.28570576706621065,0.031224796389571787,9160.0,1140.5,6438.0,677.5,0.1911077308948794,0
1,0.287028518388962,0.030954631692438565,9285.0,1163.0,117.0,23.5,0.19105915086267253,0
2,0.8170482300969376,0.0070471917629781515,9901.0,1213.5,2423.0,428.5,0.8088702658241032,2
2,0.8166102943745803,0.006666706738484013,10392.0,1260.5,2311.0,406.0,0.8093363479952251,2
2,0.8179455782257071,0.006429706827908947,10816.0,1304.0,2311.0,406.0,0.8100492192135522,2
2,0.8090745224165036,0.006359210783720181,11194.0,1344.0,2311.0,406.0,0.808548122707493,2
2,0.8132178465800717,0.006084124491863766,11678.0,1391.0,2311.0,406.0,0.8094930559617511,2
2,0.803937589813616,0.005981520018803001,12086.0,1431.0,2423.0,428.5,0.8077551777750096,2
1,0.28123264485469535,0.029981325873247762,12199.0,1453.5,9239.0,945.5,0.19004827731804566,0
1,0.2992496894858992,0.031960905200785136,12357.0,1476.0,118.0,23.5,0.48083460345081674,1
1,0.30998004561696235,0.03252245286864247,12504.0,1498.5,118.0,23.5,0.4831933326405557,1
1,0.31750885803439166,0.032126289869843824,12642.0,1521.0,118.0,23.5,0.4821861175567173,1
1,0.32082555496356435,0.030950460791860715,12788.0,1543.5,118.0,23.5,0.4764542471141844,1
1,0.31754311609464553,0.030874304771820245,12934.0,1566.0,9239.0,945.5,0.480006474064124,1
